taxon,common.name,class,order,family,genus,species,primarymethod,N,mean.mass.g,log10.mass,alternative.mass.reference,mean.hra.m2,log10.hra,hra.reference,realm,thermoregulation,locomotion,trophic.guild,dimension,preymass,log10.preymass,PPMR,prey.size.reference
marine fishes,cabezon,actinopterygii,perciformes,cottidae,scorpaenichthys,marmoratus,mark-recapture,27,1450.23,3.161436885,NA,3303.11,3.518923037,"Mireles C, Nakamura R, Wendt DE. 2012. A collaborative approach to investigate site fidelity, home range, and homing behavior of cabezon (Scorpaenichthys marmoratus). Fisheries Research 113, 133-142.",aquatic,ectotherm,swimming,carnivore,2D,NA,NA,NA,NA
marine fishes,japanese shrimpgoby,actinopterygii,perciformes,gobiidae,amblyeleotris,japonica,direct observation,34,2.7,0.431363764,NA,28.27,1.451325808,Yanagisawa Y. 1982. Social Behaviour and Mating System of the Gobiid Fish Amblyeleotris japonica. Japanese Journal of Ichthyology 28: 401-422.,aquatic,ectotherm,swimming,carnivore,2D,NA,NA,NA,NA
marine fishes,bluebanded goby,actinopterygii,perciformes,gobiidae,lythrypnus,dalli,mark-recapture,48,0.31,-0.508638306,NA,0.5,-0.301029996,"St. Mary CM. 1994. Sex allocation in a simultaneous hermaphrodite, the blue-banded goby (Lythrypnus dalli): the effects of body size and behavioral gender and the consequences for reproduction. Behavioral Ecology 5, 304-313.",aquatic,ectotherm,swimming,carnivore,2D,NA,NA,NA,NA
marine fishes,rusty goby,actinopterygii,perciformes,gobiidae,priolepis,hipoliti,direct observation,NA,0.22,-0.657577319,NA,0.03,-1.522878745,"Luckhurst BE, Luckhurst K. 1978. Diurnal Space Utilization in Coral Reef Fish Communities. Marine Biology 49, 325-332.",aquatic,ectotherm,swimming,carnivore,2D,NA,NA,NA,NA
marine fishes,blackeye goby,actinopterygii,perciformes,gobiidae,rhinogobiops,nicholsii,mark-recapture,104,4,0.602059991,NA,0.32,-0.494850022,"Kroon FJ, de Graff M, Liley NR. 2000. Social organisation and competition for refuges and nest sites in Coryphopterus nicholsii (Gobiidae), a temperate protogynous reef fish. Environmental Biology of Fishes 57, 401-411.",aquatic,ectotherm,swimming,carnivore,2D,NA,NA,NA,NA
marine fishes,longfinned goby,actinopterygii,perciformes,gobiidae,valenciennea,longipinnis,mark-recapture,14,71.23,1.852662944,NA,61.5,1.788875116,"Takegaki T. 2001. Environmental factors affecting the spawning burrow selection by the gobiid Valenciennea longipinnis. Journal of Fish Biology. 58, 222-229. (doi:10.1006/jfbi.2000.1438)",aquatic,ectotherm,swimming,carnivore,2D,NA,NA,NA,NA
marine fishes,bermuda chub,actinopterygii,perciformes,kyphosidae,kyphosus,sectatrix,telemetry,11,1086.71,3.036113663,NA,34423,4.536848717,"Eristhee N, Oxenford HA. 2001. Home range size and use of space by Bermuda chub Kyphosus sectatrix (L.) in two marine reserves in the Soufrière Marine Management Area, St Lucia, West Indies. Journal of Fisheries Biology 59, 129-151.",aquatic,ectotherm,swimming,herbivore,2D,NA,NA,NA,NA
marine fishes,spanish hogfish,actinopterygii,perciformes,labridae,bodianus,rufus,direct observation,47,133.38,2.125090713,NA,517.8,2.714162046,"Hoffman SG. 1983. Sex-Related Foraging Behavior in Sequentially Hermaphroditic Hogfishes (Bodianus Spp.). Ecology 64, 798-808.",aquatic,ectotherm,swimming,carnivore,2D,NA,NA,NA,NA
marine fishes,humphead wrasse,actinopterygii,perciformes,labridae,chelinus,undulatus,mark-recapture,1,1644.9,3.216139501,NA,50000,4.698970004,"Chateau O, Wantiez L. 2007. Site fidelity and activity patterns of a humphead wrasse, Cheilinus undulatus (Labridae), as determined by acoustic telemetry. Environmental Biology of Fishes 808, 503-508.",aquatic,ectotherm,swimming,carnivore,2D,NA,NA,NA,NA
marine fishes,mediterranean rainbow wrasse,actinopterygii,perciformes,labridae,coris,julis,mark-recapture,NA,119.16,2.076130495,NA,227.6,2.357172258,"Palmer M, Balle S, March D, et al. 2011. Size estimation of circular home range from fish mark-release-(single)-recapture data: case study of a small labrid targeted by recreational fishing. Marine Ecology Progress Series 430, 87-97. ",aquatic,ectotherm,swimming,carnivore,2D,NA,NA,NA,NA
marine fishes,slippery dick,actinopterygii,perciformes,labridae,halichoeres,bivittatus,mark-recapture,4,7.17,0.855519156,NA,142.5,2.153814864,"Jones KMM. 2005. Home range areas and activity centres in six species of Caribbean wrasses (Labridae). Journal of Fisheries Biology 66, 150-166.",aquatic,ectotherm,swimming,carnivore,2D,NA,NA,NA,NA
marine fishes,yellowhead wrasse,actinopterygii,perciformes,labridae,halichoeres,garnoti,mark-recapture,2,6.57,0.81756537,NA,128.5,2.108903128,"Jones KMM. 2005. Home range areas and activity centres in six species of Caribbean wrasses (Labridae). Journal of Fisheries Biology 66, 150-166.",aquatic,ectotherm,swimming,carnivore,2D,NA,NA,NA,NA
marine fishes,clown wrasse,actinopterygii,perciformes,labridae,halichoeres,maculipinna,mark-recapture,2,9.55,0.980003372,NA,158.4,2.199755177,"Jones KMM. 2005. Home range areas and activity centres in six species of Caribbean wrasses (Labridae). Journal of Fisheries Biology 66, 150-166.",aquatic,ectotherm,swimming,carnivore,2D,NA,NA,NA,NA
marine fishes,blackear wrasse,actinopterygii,perciformes,labridae,halichoeres,poeyi,mark-recapture,2,7.03,0.846955325,NA,163.7,2.214048679,"Jones KMM. 2005. Home range areas and activity centres in six species of Caribbean wrasses (Labridae). Journal of Fisheries Biology 66, 150-166.",aquatic,ectotherm,swimming,carnivore,2D,NA,NA,NA,NA
marine fishes,bluestreak cleaner wrasse,actinopterygii,perciformes,labridae,labroides,dimidiatus,direct observation,NA,3.49,0.542825427,NA,33.16,1.520614522,"Robertson DR. 1974. A Study of the Ethology and Reproductive Biology of the Labrid Fish, Labroides dimidiatus, at Heron Island, Great Barrier Reef. Ph.D. thesis. University of Queensland.",aquatic,ectotherm,swimming,carnivore,2D,NA,NA,NA,NA
marine fishes,ballan wrasse,actinopterygii,perciformes,labridae,labrus,bergylta,telemetry,2,362.3,2.559068334,NA,4028.59,3.60515307,"Pita P, Freire J. 2011. Movements of three large coastal predatory fishes in the northeast Atlantic: a preliminary telemetry study. Scientia Marina 75, 759-770.",aquatic,ectotherm,swimming,carnivore,2D,NA,NA,NA,NA
marine fishes,maori wrasse,actinopterygii,perciformes,labridae,opthalmolepis,lineolatus,mark-recapture,14,95.54,1.980185237,NA,856,2.932473765,"Kingsford MJ, Carlson IJ. 2010. Patterns of distribution and movement of fishes, Ophthalmolepis lineolatus and Hypoplectrodes maccullochi, on temperate rocky reefs of south eastern Australia. Environmental Biology of Fishes 88, 105-118. (doi: 10.1007/s10641-010-9621-1)",aquatic,ectotherm,swimming,carnivore,2D,NA,NA,NA,NA
marine fishes,california sheepshead,actinopterygii,perciformes,labridae,semicossyphus,pulcher,telemetry,16,1484.14,3.17147487,NA,15134,4.17995373,"Topping DT, Lowe CG, Caselle JE. 2005. Home range and habitat utilization of adult California sheephead, Semicossyphus pulcher (Labridae), in a temperate no-take marine reserve. Marine Biology 147, 301-311.",aquatic,ectotherm,swimming,carnivore,2D,NA,NA,NA,NA
marine fishes,cunner,actinopterygii,perciformes,labridae,tautogolabrus,adspersus,telemetry,8,103.47,2.014814449,NA,1368.11,3.136121017,"Bradbury C, Green JM, Bruce-Lockhart. 1995. Home ranges of female cunner, Tautogolabrus adspersus (Labridae), as determined by ultrasonic telemetry. Canadian Journal of Zoology 73, 1268-1279.",aquatic,ectotherm,swimming,carnivore,2D,NA,NA,NA,NA
marine fishes,bluehead wrasse,actinopterygii,perciformes,labridae,thalassoma,bifasciatum,mark-recapture,2,3.12,0.494154594,NA,103.3,2.014100322,"Jones KMM. 2005. Home range areas and activity centres in six species of Caribbean wrasses (Labridae). Journal of Fisheries Biology 66, 150-166.",aquatic,ectotherm,swimming,carnivore,2D,NA,NA,NA,NA
marine fishes,moon wrasse,actinopterygii,perciformes,labridae,thalassoma,lunare,direct observation,NA,84.06,1.924589386,NA,11.87,1.074450719,"Robertson DR, Choat JH. 1974. Protogynous Hermaphroditism and Social Systems in Labrid Fish. In: Proc. Int. Coral Reef Symp., 2nd ed. (Cameron, A.M., B.M. Cambell, A.B. Cribb, R.Endean, J.S. Jell, O.A. Jones, P. Mather and F.H. Talbot, eds.), 1, 217-226.",aquatic,ectotherm,swimming,carnivore,2D,NA,NA,NA,NA
marine fishes,thumbprint emperor,actinopterygii,perciformes,lethrinidae,lethrinus,harak,telemetry,21,236.76,2.374308331,NA,1988.1,3.298438225,"Nanami A, Yamada H. 2009. Site fidelity, size, and spatial arrangement of daytime home range of thumbprint emperor Lethrinus harak (Lethrinidae). Fisheries Science 75, 1109-1116.",aquatic,ectotherm,swimming,carnivore,2D,NA,NA,NA,NA
marine fishes,mutton snapper,actinopterygii,perciformes,lutjanidae,lutjanus,analis,telemetry,4,2167.7,3.335999178,NA,7640000,6.883093359,"Farmer NA, Ault JS. 2011. Grouper and snapper movements and habitat use in Dry Tortugas, Florida. Marine Ecology Progress Series 433, 169-184.",aquatic,ectotherm,swimming,carnivore,2D,NA,NA,NA,NA
marine fishes,schoolmaster snapper,actinopterygii,perciformes,lutjanidae,lutjanus,apodus,telemetry,15,56.04,1.748498127,NA,6660,3.823474229,"Hammerschlag-Peyer CM, Layman CA. 2010. Intrapopulation variation in habitat use by two abundant coastal fish species. Marine Ecology Progress Series 415, 211-220.",aquatic,ectotherm,swimming,carnivore,2D,4.69,0.671172843,11.95,"Rooker JR. 1995. Feeding Ecology of the Schoolmaster Snapper Lutjanus apodus (Walbaum), From Southwestern Puerto Rico. Bulletin of Marine Science 56(3), 881-894."
marine fishes,checkered snapper,actinopterygii,perciformes,lutjanidae,lutjanus,decussatus,telemetry,58,50,1.698970004,NA,1340.6,3.127299215,"Nanami A, Yamada H. 2008. Size and spatial arrangement of home range of checkered snapper Lutjanus decussatus (Lutjanidae) in an Okinawan coral reef determined using a portable GPS receiver. Marine Biology 153, 1103-1111.",aquatic,ectotherm,swimming,carnivore,2D,NA,NA,NA,NA
marine fishes,gray snapper,actinopterygii,perciformes,lutjanidae,lutjanus,griseus,telemetry,14,56.27,1.750276915,NA,35384,4.548806926,"Hammerschlag-Peyer CM, Layman CA. 2010. Intrapopulation variation in habitat use by two abundant coastal fish species. Marine Ecology Progress Series 415, 211-220.",aquatic,ectotherm,swimming,carnivore,2D,NA,NA,NA,NA
marine fishes,yellowtail snapper,actinopterygii,perciformes,lutjanidae,ocyurus,chrysurus,telemetry,5,1176.86,3.070724802,NA,4172000,6.6203443,"Farmer NA, Ault JS. 2011. Grouper and snapper movements and habitat use in Dry Tortugas, Florida. Marine Ecology Progress Series 433, 169-184.",aquatic,ectotherm,swimming,carnivore,2D,NA,NA,NA,NA
marine fishes,ocean whitefish,actinopterygii,perciformes,malacanthidae,caulolatilus,princeps,telemetry,17,1940.27,3.287862169,NA,35474,4.549910162,"Bellquist LF, Lowe CG, Caselle JE. 2008. Fine-scale movement patterns, site fidelity, and habitat selection of ocean whitefish (Caulolatilus princeps). Fisheries Research 91, 325-335.",aquatic,ectotherm,swimming,carnivore,2D,NA,NA,NA,NA
marine fishes,european seabass,actinopterygii,perciformes,moronidae,dicentrarchus,labrax,telemetry,2,85.99,1.934447949,NA,17712.35,4.248276185,"Pita P, Freire J. 2011. Movements of three large coastal predatory fishes in the northeast Atlantic: a preliminary telemetry study. Scientia Marina 75, 759-770.",aquatic,ectotherm,swimming,carnivore,2D,NA,NA,NA,NA
marine fishes,white goatfish,actinopterygii,perciformes,mullidae,mulloidichthys,flavolineatus,telemetry,4,297.72,2.47380801,NA,5400,3.73239376,"Holland KN, Peterson JD, Lowe CG, et al. 1993. Movements, Distribution and Growth Rates of The White Goatfish Mulloides flavolineatus in a Fisheries Conservation Zone. Bulletin of Marine Science 52: 982-992.",aquatic,ectotherm,swimming,carnivore,2D,NA,NA,NA,NA
marine fishes,whitesaddle goatfish,actinopterygii,perciformes,mullidae,parupeneus,porphyreus,telemetry,16,191.55,2.282282156,NA,19200,4.283301229,"Meyer CG, Holland KN, Wetherbee BM, et al. 2000. Movement patterns, habitat utilization, home range size and site fidelity of whitesaddle goatfish, Parupeneus porphyreus, in a marine reserve. Environmental Biology of Fishes 59, 235-242.",aquatic,ectotherm,swimming,carnivore,2D,NA,NA,NA,NA
lake fishes,yellow perch,actinopterygii,perciformes,percidae,perca,flavescens,telemetry,4,134,2.127104798,NA,11400,4.056904851,"Minns, C. K. 1995. Allometry of home range size in lake and river fishes. Canadian Journal of Fisheries and Aquatic Sciences 52:1499-1508.",aquatic,ectotherm,swimming,carnivore,3D,NA,NA,NA,NA
marine fishes,canary damsel,actinopterygii,perciformes,pomacanthidae,abudefduf,luridus,direct observation,NA,94.58,1.97579931,NA,27,1.431363764,"Mapstone GM, Wood EM. 1975. The ethology of Abudefduf luridus and Chromis chromis (Pisces: Pomacentridae) from the Azores. Journal of Zoology, London 175, 179-199.",aquatic,ectotherm,swimming,carnivore,2D,NA,NA,NA,NA
marine fishes,cherubfish,actinopterygii,perciformes,pomacanthidae,centropyge,argi,direct observation,NA,2.5,0.397940009,NA,1.13,0.053078443,"Luckhurst BE, Luckhurst K. 1978. Diurnal Space Utilization in Coral Reef Fish Communities. Marine Biology 49, 325-332.",aquatic,ectotherm,swimming,herbivore,2D,NA,NA,NA,NA
marine fishes,damselfish,actinopterygii,perciformes,pomacentridae,chromis,chromis,direct observation,NA,28.41,1.453471234,NA,18.5,1.267171728,"Mapstone GM, Wood EM. 1975. The ethology of Abudefduf luridus and Chromis chromis (Pisces: Pomacentridae) from the Azores. Journal of Zoology, London 175, 179-199.",aquatic,ectotherm,swimming,herbivore,2D,NA,NA,NA,NA
marine fishes,twinspot damselfish,actinopterygii,perciformes,pomacentridae,chrysiptera,biocellata,direct observation,18,9.19,0.963315511,NA,2.58,0.411619706,"Keenleyside MHA. 1972. The Behaviour of Abudefduf zonatus (Pisces, Pomacentridae) at Heron Island, Great Barrier Reef. Animal Behavior 20, 763-774.",aquatic,ectotherm,swimming,herbivore,2D,NA,NA,NA,NA
marine fishes,whitetail dascyllus,actinopterygii,perciformes,pomacentridae,dascyllus,aruanus,mark-recapture,NA,3.96,0.597695186,NA,1.1,0.041392685,"Sale PF. 1971. Extremely Limited Home Range in a Coral Reef Fish, Dascyllus aruanus (Pisces; Pomacentridae). Copeia, 324-327.",aquatic,ectotherm,swimming,carnivore,2D,NA,NA,NA,NA
marine fishes,wards damsel,actinopterygii,perciformes,pomacentridae,pomacentrus,wardi,direct observation,NA,10.49,1.020775488,NA,0.54,-0.26760624,"Sale PF. 1974. Mechanisms of co-existence in a guild of territorial fishes at Heron Island. pp. 193-206. In: Proc. Second Intern. Symp. Coral Reefs, Vol. 1, Great Barrier Reef Committee. Brisbane.",aquatic,ectotherm,swimming,herbivore,2D,NA,NA,NA,NA
marine fishes,australian gregory,actinopterygii,perciformes,pomacentridae,stegastes,apicalis,direct observation,NA,45.3,1.656098202,NA,2.25,0.352182518,"Sale PF. 1978. Coexistence of coral reef fishes - a lottery for living space. Environmental Biology of Fishes 3(1), 85-102.",aquatic,ectotherm,swimming,herbivore,2D,NA,NA,NA,NA
marine fishes,bicolor damselfish,actinopterygii,perciformes,pomacentridae,stegastes,partitus,direct observation,NA,6.64,0.822168079,NA,0.05,-1.301029996,"Luckhurst BE, Luckhurst K. 1978. Diurnal Space Utilization in Coral Reef Fish Communities. Marine Biology 49, 325-332.",aquatic,ectotherm,swimming,herbivore,2D,NA,NA,NA,NA
marine fishes,cocoa damselfish,actinopterygii,perciformes,pomacentridae,stegastes,variabilis,direct observation,10,39,1.591064607,NA,7.4,0.86923172,"Gronell A. 1980. Space utilization by the cocoa damselfish Eupomacentrus variabilis (Pisces: Pomacentridae). Bulletin of Marine Science 30, 237-251.",aquatic,ectotherm,swimming,herbivore,2D,NA,NA,NA,NA
marine fishes,steephead parrotfish,actinopterygii,perciformes,scaridae,chlorurus,microrhinos,telemetry,7,1668.11,3.222224686,NA,7830,3.893761762,"Welsh JQ, Bellwood DR. 2011. Spatial ecology of the steephead parrotfish (Chlorurus microrhinos): an evaluation using acoustic telemetry. Coral Reefs 31, 55-65. (doi: 10.1007/s00338-011-0813-8)",aquatic,ectotherm,swimming,herbivore,2D,NA,NA,NA,NA
marine fishes,striped parrotfish,actinopterygii,perciformes,scaridae,scarus,iseri,direct observation,25,171.42,2.234061491,NA,172,2.235528447,"Mumby PJ, Wabnitz CCC. 2002. Spatial patterns of aggression, territory size, and harem size in five sympatric Caribbean parrotfish species. Environmental Biology of Fishes 63, 265-279.",aquatic,ectotherm,swimming,herbivore,2D,NA,NA,NA,NA
marine fishes,rivulated parrotfish,actinopterygii,perciformes,scaridae,scarus,rivulatus,telemetry,18,289.4,2.461498527,NA,24442.78,4.388150599,"Welsh JQ, Bellwood DR. .2012. How far do schools of roving herbivores rove? A case study using Scarus rivulatus. Coral Reefs 31, 991-1003. (doi: 10.1007/s00338-012-0922-z)",aquatic,ectotherm,swimming,herbivore,2D,NA,NA,NA,NA
marine fishes,redband parrotfish,actinopterygii,perciformes,scaridae,sparisoma,aurofrenatum,direct observation,25,250.64,2.399050382,NA,287,2.457881897,"Mumby PJ, Wabnitz CCC. 2002. Spatial patterns of aggression, territory size, and harem size in five sympatric Caribbean parrotfish species. Environmental Biology of Fishes 63, 265-279.",aquatic,ectotherm,swimming,herbivore,2D,NA,NA,NA,NA
